CabName,UnitType,ID,Lat,Lon,Route,Milepost,direction,UnitName,isHOV,isMetered,isDuplicate,isReversible,isAuxillary,isCollector
002es00504,"main      ",12,47.951913970,-122.103521800,002,5.04000,W,002es00504:_MW___1,0,0,0,0,0,0
002es00504,"main      ",13,47.951913970,-122.103521800,002,5.04000,W,002es00504:_MW___2,0,0,0,0,0,0
002es00504,"speed     ",14,47.951913970,-122.103521800,002,5.04000,W,002es00504:_MW__S1,0,0,0,0,0,0
002es00504,"speed     ",15,47.951913970,-122.103521800,002,5.04000,W,002es00504:_MW__S2,0,0,0,0,0,0
002es00504,"trap      ",8279,47.951913970,-122.103521800,002,5.04000,W,002es00504:_MW__T1,0,0,0,0,0,0
002es00504,"trap      ",8798,47.951913970,-122.103521800,002,5.04000,W,002es00504:_MW__T2,0,0,0,0,0,0
002es00504,"other     ",16,47.951913970,-122.103521800,002,5.04000,W,002es00504:_MW_O_1,0,0,0,0,0,0
002es00504,"station   ",7962,47.951913970,-122.103521800,002,5.04000,W,002es00504:_MW_Stn,0,0,0,0,0,0
002es00504,"other     ",17,47.951913970,-122.103521800,002,5.04000,W,002es00504:_MW_X_1,0,0,0,0,0,0
002es01429,"main      ",18,47.863231390,-121.984497900,002,14.29000,E,002es01429:_ME___1,0,0,0,0,0,0
002es01429,"main      ",19,47.863231390,-121.984497900,002,14.29000,E,002es01429:_ME___2,0,0,0,0,0,0
002es01429,"main      ",20,47.863231390,-121.984497900,002,14.29000,E,002es01429:_ME___3,0,0,0,0,0,0
002es01429,"speed     ",21,47.863231390,-121.984497900,002,14.29000,E,002es01429:_ME__S1,0,0,0,0,0,0
002es01429,"speed     ",22,47.863231390,-121.984497900,002,14.29000,E,002es01429:_ME__S2,0,0,0,0,0,0
002es01429,"speed     ",23,47.863231390,-121.984497900,002,14.29000,E,002es01429:_ME__S3,0,0,0,0,0,0
002es01429,"trap      ",8941,47.863231390,-121.984497900,002,14.29000,E,002es01429:_ME__T1,0,0,0,0,0,0
002es01429,"trap      ",8776,47.863231390,-121.984497900,002,14.29000,E,002es01429:_ME__T2,0,0,0,0,0,0
002es01429,"trap      ",8659,47.863231390,-121.984497900,002,14.29000,E,002es01429:_ME__T3,0,0,0,0,0,0
002es01429,"station   ",7413,47.863231390,-121.984497900,002,14.29000,E,002es01429:_ME_Stn,0,0,0,0,0,0
002es01429,"main      ",24,47.863231390,-121.984497900,002,14.29000,W,002es01429:_MW___1,0,0,0,0,0,0
002es01429,"main      ",10708,47.863231390,-121.984497900,002,14.29000,W,002es01429:_MW___2,0,0,0,0,0,0
002es01429,"speed     ",25,47.863231390,-121.984497900,002,14.29000,W,002es01429:_MW__S1,0,0,0,0,0,0
002es01429,"speed     ",10540,47.863231390,-121.984497900,002,14.29000,W,002es01429:_MW__S2,0,0,0,0,0,0
002es01429,"trap      ",8597,47.863231390,-121.984497900,002,14.29000,W,002es01429:_MW__T1,0,0,0,0,0,0
002es01429,"trap      ",11025,47.863231390,-121.984497900,002,14.29000,W,002es01429:_MW__T2,0,0,0,0,0,0
002es01429,"station   ",10930,47.863231390,-121.984497900,002,14.29000,W,002es01429:_MW_Stn,0,0,0,0,0,0
002es02430,"main      ",11302,47.868076510,-121.776596900,002,24.30000,E,002es02430:_ME___1,0,0,0,0,0,0
002es02430,"main      ",16253,47.868076510,-121.776596900,002,24.30000,E,002es02430:_ME___2,0,0,0,0,0,0
002es02430,"speed     ",11343,47.868076510,-121.776596900,002,24.30000,E,002es02430:_ME__S1,0,0,0,0,0,0
002es02430,"trap      ",11026,47.868076510,-121.776596900,002,24.30000,E,002es02430:_ME__T1,0,0,0,0,0,0
002es02430,"station   ",16259,47.868076510,-121.776596900,002,24.30000,E,002es02430:_ME_Stn,0,0,0,0,0,0
002es02430,"main      ",11307,47.868076510,-121.776596900,002,24.30000,W,002es02430:_MW___1,0,0,0,0,0,0
002es02430,"main      ",16249,47.868076510,-121.776596900,002,24.30000,W,002es02430:_MW___2,0,0,0,0,0,0
002es02430,"speed     ",11248,47.868076510,-121.776596900,002,24.30000,W,002es02430:_MW__S1,0,0,0,0,0,0
002es02430,"trap      ",11027,47.868076510,-121.776596900,002,24.30000,W,002es02430:_MW__T1,0,0,0,0,0,0
002es02430,"station   ",16258,47.868076510,-121.776596900,002,24.30000,W,002es02430:_MW_Stn,0,0,0,0,0,0
005es00045,"main      ",16575,47.609617790,-122.331049600,005,0.45000,N,005es00045:_MN___1,0,0,0,0,0,0
005es00045,"main      ",16576,47.609617790,-122.331049600,005,0.45000,N,005es00045:_MN___2,0,0,0,0,0,0
005es00045,"main      ",16577,47.609617790,-122.331049600,005,0.45000,N,005es00045:_MN___3,0,0,0,0,0,0
005es00045,"speed     ",16578,47.609617790,-122.331049600,005,0.45000,N,005es00045:_MN__S1,0,0,0,0,0,0
005es00045,"speed     ",16579,47.609617790,-122.331049600,005,0.45000,N,005es00045:_MN__S2,0,0,0,0,0,0
005es00045,"speed     ",16580,47.609617790,-122.331049600,005,0.45000,N,005es00045:_MN__S3,0,0,0,0,0,0
005es00045,"trap      ",16623,47.609617790,-122.331049600,005,0.45000,N,005es00045:_MN__T1,0,0,0,0,0,0
005es00045,"trap      ",16624,47.609617790,-122.331049600,005,0.45000,N,005es00045:_MN__T2,0,0,0,0,0,0
005es00045,"trap      ",16625,47.609617790,-122.331049600,005,0.45000,N,005es00045:_MN__T3,0,0,0,0,0,0
005es00045,"station   ",16613,47.609617790,-122.331049600,005,0.45000,N,005es00045:_MN_Stn,0,0,0,0,0,0
005es00045,"main      ",16581,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS___1,0,0,0,0,0,0
005es00045,"main      ",16582,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS___2,0,0,0,0,0,0
005es00045,"main      ",16583,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS___3,0,0,0,0,0,0
005es00045,"speed     ",16584,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS__S1,0,0,0,0,0,0
005es00045,"speed     ",16585,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS__S2,0,0,0,0,0,0
005es00045,"speed     ",16586,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS__S3,0,0,0,0,0,0
005es00045,"trap      ",16626,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS__T1,0,0,0,0,0,0
005es00045,"trap      ",16627,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS__T2,0,0,0,0,0,0
005es00045,"trap      ",16628,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS__T3,0,0,0,0,0,0
005es00045,"other     ",16587,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS_O_1,0,0,0,0,0,0
005es00045,"speed     ",16588,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS_OS1,0,0,0,0,0,0
005es00045,"trap      ",16629,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS_OT1,0,0,0,0,0,0
005es00045,"station   ",16614,47.609617790,-122.331049600,005,0.45000,S,005es00045:_MS_Stn,0,0,0,0,0,0
005es00066,"main      ",14328,47.612600190,-122.330357600,005,0.66000,E,005es00066:_ME___1,0,0,0,0,0,0
005es00066,"main      ",14564,47.612600190,-122.330357600,005,0.66000,E,005es00066:_ME___2,0,0,0,0,0,0
005es00066,"trap      ",15127,47.612600190,-122.330357600,005,0.66000,E,005es00066:_ME__T1,0,0,0,0,0,0
005es00066,"trap      ",14962,47.612600190,-122.330357600,005,0.66000,E,005es00066:_ME__T2,0,0,0,0,0,0
005es00066,"station   ",14646,47.612600190,-122.330357600,005,0.66000,E,005es00066:_ME_Stn,0,0,0,0,0,0
005es00066,"main      ",14012,47.612600190,-122.330357600,005,0.66000,W,005es00066:_MW___1,0,0,0,0,0,0
005es00066,"main      ",13982,47.612600190,-122.330357600,005,0.66000,W,005es00066:_MW___2,0,0,0,0,0,0
005es00066,"trap      ",15257,47.612600190,-122.330357600,005,0.66000,W,005es00066:_MW__T1,0,0,0,0,0,0
