"id","geom","direction","barm","earm","region","display","rt_typea","rt_typeb","lrs_date","routeid","stateroute","relroutety","relroutequ","shape_stle","st_astext"
4475,"0102000020E61000000200000054436F44A7935EC0292B9352CBA44740FBBA4D96A3935EC04CAEFFB4E0A44740","i","141.92","141.96","NW","5","IS",1,"20161231","005","005","","","244.475884968","LINESTRING(-122.307084187179 47.2874549120518,-122.306859565648 47.2881075142328)"
4477,"0102000020E6100000020000006D230AADAD935EC0A6402C32D5A44740A33196F7AB935EC09954A3F3E0A44740","d","141.96","141.98","NW","5","IS",1,"20161231","005","005","","","133.391054849","LINESTRING(-122.307475337888 47.2877562252118,-122.307371040987 47.288114981414)"
4476,"0102000020E610000002000000FBBA4D96A3935EC04CAEFFB4E0A447409D57444BA2935EC0319C04C1E8A44740","i","141.96","141.98","NW","5","IS",1,"20161231","005","005","","","91.6890644962","LINESTRING(-122.306859565648 47.2881075142328,-122.306780640355 47.2883530876646)"
4474,"0102000020E6100000020000009D57444BA2935EC0319C04C1E8A447400807D4C59C935EC0DAF4ECA808A54740","i","141.98","142.06","NW","5","IS",1,"20161231","005","005","","","364.865866278","LINESTRING(-122.306780640355 47.2883530876646,-122.306443650301 47.2893267781271)"
3971,"0102000020E610000002000000A33196F7AB935EC09954A3F3E0A44740F6451C4CA5935EC069654B3E09A54740","d","141.98","142.06","NW","5","IS",1,"20161231","005","005","","","459.733769888","LINESTRING(-122.307371040987 47.288114981414,-122.306963946925 47.2893445842881)"
89,"0102000020E6100000020000000807D4C59C935EC0DAF4ECA808A54740DE9AD0C999935EC00D05ED9B1AA54740","i","142.06","142.1","NW","5","IS",1,"20161231","005","005","","","204.847124269","LINESTRING(-122.306443650301 47.2893267781271,-122.306261495319 47.289874544842)"
2488,"0102000020E610000002000000F6451C4CA5935EC069654B3E09A547401519724DA2935EC0330DBD981BA54740","d","142.06","142.1","NW","5","IS",1,"20161231","005","005","","","209.270407868","LINESTRING(-122.306963946925 47.2893445842881,-122.306781159805 47.2899046824554)"
4478,"0102000020E6100000020000001519724DA2935EC0330DBD981BA547401703325C98935EC079028EC855A54740","d","142.1","142.23","NW","5","IS",1,"20161231","005","005","","","664.967933595","LINESTRING(-122.306781159805 47.2899046824554,-122.306174324837 47.2916804021269)"
2489,"0102000020E610000007000000DE9AD0C999935EC00D05ED9B1AA54740B239B4B297935EC065EDBAE326A547401DCB4D2A8D935EC08217EB6E66A5474052769A5777935EC0F81D362CE8A54740C143C12071935EC0C5C7166F0BA647401C50F1626A935EC0ADD914C435A64740AC1B071362935EC0E42E1BF467A64740","i","142.1","142.82","NW","5","IS",1,"20161231","005","005","","","3805.33830745","LINESTRING(-122.306261495319 47.289874544842,-122.306133914949 47.2902493155223,-122.305491043062 47.2921885154638,-122.304159069864 47.296147848534,-122.303779782043 47.2972239361984,-122.303368316323 47.2985158063706,-122.302860981885 47.3000474102717)"
2671,"0102000020E6100000030000001703325C98935EC079028EC855A54740F380FB2495935EC016B494A068A54740FC1447238B935EC075CB6CB1A3A54740","d","142.23","142.4","NW","5","IS",1,"20161231","005","005","","","890.055116071","LINESTRING(-122.306174324837 47.2916804021269,-122.305978055581 47.2922554708568,-122.305367297569 47.2940580159401)"
2613,"0102000020E610000003000000FC1447238B935EC075CB6CB1A3A547407FC4C27E84935EC0AB09C7FFCBA54740BE6A2AD367935EC0D80F406576A64740","d","142.4","142.85","NW","5","IS",1,"20161231","005","005","","","2405.59181106","LINESTRING(-122.305367297569 47.2940580159401,-122.304961862757 47.2952880594124,-122.303211966918 47.3004881441881)"
4479,"0102000020E610000002000000AC1B071362935EC0E42E1BF467A64740C78C8BBA5F935EC0E0DB991D76A64740","i","142.82","142.85","NW","5","IS",1,"20161231","005","005","","","161.594864792","LINESTRING(-122.302860981885 47.3000474102717,-122.302717815665 47.3004796029343)"
4480,"0102000020E610000002000000C78C8BBA5F935EC0E0DB991D76A64740576ED25E5D935EC029BB482584A64740","i","142.85","142.88","NW","5","IS",1,"20161231","005","005","","","160.203556151","LINESTRING(-122.302717815665 47.3004796029343,-122.302573876857 47.3009077649243)"
4481,"0102000020E610000002000000BE6A2AD367935EC0D80F406576A6474084E9E64666935EC01EC729957FA64740","d","142.85","142.87","NW","5","IS",1,"20161231","005","005","","","104.91712194","LINESTRING(-122.303211966918 47.3004881441881,-122.303117490292 47.3007685140603)"
479,"0102000020E61000000200000084E9E64666935EC01EC729957FA647405EE62CB446935EC0AD5E95B73AA74740","d","142.87","143.27","NW","5","IS",1,"20161231","005","005","","","2137.21477558","LINESTRING(-122.303117490292 47.3007685140603,-122.301190418098 47.306479404387)"
1143,"0102000020E610000007000000576ED25E5D935EC029BB482584A64740430B0ACF3E935EC004D58A9E38A747405E8B5BD438935EC0B4209A0D5BA7474009850ACA35935EC055187FAA6BA7474083EAD7AC31935EC0DEB306D67FA74740FDC6E03B2E935EC04BFD79AE90A747409BF2EB5F1D935EC02D07FEAFE2A74740","i","142.88","143.64","NW","5","IS",1,"20161231","005","005","","","4021.40754464","LINESTRING(-122.302573876857 47.3009077649243,-122.300708541688 47.3064153840915,-122.300343598746 47.3074662211015,-122.300158033631 47.3079732056218,-122.299906931739 47.308588746331,-122.299696893224 47.3091028304721,-122.29866788904 47.3116054525729)"
4062,"0102000020E6100000050000005EE62CB446935EC0AD5E95B73AA747408721F4DF40935EC0539E49E55CA747401A89D23A3D935EC04FCA5E0F70A74740564AC66B39935EC0D323971E83A74740D4F7005936935EC02429F0E792A74740","d","143.27","143.46","NW","5","IS",1,"20161231","005","005","","","1012.54300761","LINESTRING(-122.301190418098 47.306479404387,-122.300834644708 47.3075224503961,-122.300612168885 47.3081073010295,-122.300379699367 47.3086889493931,-122.300192118593 47.3091707155857)"
4063,"0102000020E610000004000000D4F7005936935EC02429F0E792A747408803D62425935EC0B0F2D032E6A7474036A22ABE1C935EC0FF3EA9610FA847407B7D9A5A0E935EC0C692A9E955A84740","d","143.46","143.89","NW","5","IS",1,"20161231","005","005","","","2253.56607286","LINESTRING(-122.300192118593 47.3091707155857,-122.299142083166 47.3117126007322,-122.298629323611 47.3129694057843,-122.29775109374 47.3151218488688)"
39,"0102000020E6100000020000009BF2EB5F1D935EC02D07FEAFE2A747404DCFC5C614935EC0717993C20CA84740","i","143.64","143.73","NW","5","IS",1,"20161231","005","005","","","486.081491403","LINESTRING(-122.29866788904 47.3116054525729,-122.298143094228 47.3128894062128)"
4059,"0102000020E6100000020000004DCFC5C614935EC0717993C20CA84740FC49E05D05935EC0DEE376D455A84740","i","143.73","143.89","NW","5","IS",1,"20161231","005","005","","","846.165596077","LINESTRING(-122.298143094228 47.3128894062128,-122.297202557595 47.3151193218725)"
1144,"0102000020E610000009000000FC49E05D05935EC0DEE376D455A8474081918AAC04935EC097C3693159A84740779F84B3F3925EC0C24E6AD7ADA84740E452FB6DEA925EC008788FC7DAA84740544A785EE7925EC0ACA2213BEBA8474027E2B854E4925EC0327E4910FCA84740ADA3678CE1925EC00367BEA80DA947400E19CDD8DE925EC02B4A8E401FA947406D879C48DC925EC0F4650E1032A94740","i","143.89","144.37","NW","5","IS",1,"20161231","005","005","","","2530.2614613","LINESTRING(-122.297202557595 47.3151193218725,-122.297160277672 47.3152219549585,-122.296124343409 47.3178052205162,-122.295558448251 47.3191766214878,-122.295371644469 47.3196786798702,-122.295186214972 47.320192371259,-122.295016385279 47.3207293443393,-122.294851494113 47.3212662405752,-122.294695046292 47.3218402929596)"
4635,"0102000020E6100000030000007B7D9A5A0E935EC0C692A9E955A84740D6678CAE0D935EC0D1C55A2D59A84740D5B0DA67FC925EC0DD2F90B5ACA84740","d","143.89","144.08","NW","5","IS",1,"20161231","005","005","","","1003.64629713","LINESTRING(-122.29775109374 47.3151218488688,-122.297710072627 47.3152214711405,-122.29665562016 47.3177706674612)"
4067,"0102000020E610000009000000D5B0DA67FC925EC0DD2F90B5ACA8474070B34651FA925EC0A07845E2B7A8474021991668F8925EC0A15D388DC1A84740BA1B587AF2925EC01E6E21ACDDA84740A7F8354EEF925EC0B8826DACEDA8474034CE1513EC925EC0C431A720FFA8474053368F5DE9925EC0357C1F440FA947400A0AF06AE6925EC0F39127A921A947404A26F68AE3925EC01C54499336A94740","d","144.08","144.38","NW","5","IS",1,"20161231","005","005","","","1580.91066462","LINESTRING(-122.29665562016 47.3177706674612,-122.296528166813 47.3181116904464,-122.296411535328 47.3184067273353,-122.296049676936 47.3192649043306,-122.295856049258 47.3197532210083,-122.295658847136 47.3202858749751,-122.295493497711 47.320778384565,-122.295313581861 47.3213397448743,-122.295138111477 47.3219780071306)"
