date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
2011-02-11,39.2 F,42.5 F,48.2 F,30.18 IN,No data.,0.00 IN,No data.,No data.,3.91 MPH,6.90 MPH,999.00 MPH
2011-02-12,43.7 F,49.0 F,55.2 F,29.96 IN,No data.,0.00 IN,No data.,No data.,7.83 MPH,19.45 MPH,999.00 MPH
2011-02-13,43.9 F,46.8 F,52.0 F,29.97 IN,No data.,0.00 IN,No data.,No data.,8.75 MPH,14.96 MPH,999.00 MPH
2011-02-14,45.7 F,47.7 F,49.6 F,29.63 IN,No data.,0.00 IN,No data.,No data.,4.72 MPH,9.21 MPH,999.00 MPH
2011-02-15,41.0 F,44.0 F,50.9 F,29.59 IN,No data.,0.00 IN,No data.,No data.,7.13 MPH,31.07 MPH,999.00 MPH
2011-02-16,39.7 F,42.7 F,46.6 F,29.51 IN,No data.,0.00 IN,No data.,No data.,7.25 MPH,11.39 MPH,999.00 MPH
2011-02-17,36.9 F,39.8 F,44.6 F,29.67 IN,No data.,0.00 IN,No data.,No data.,7.02 MPH,14.96 MPH,999.00 MPH
2011-02-18,35.6 F,40.1 F,45.7 F,29.79 IN,No data.,0.00 IN,No data.,No data.,5.87 MPH,11.39 MPH,999.00 MPH
2011-02-19,38.1 F,41.1 F,45.9 F,29.97 IN,No data.,0.00 IN,No data.,No data.,7.83 MPH,13.81 MPH,999.00 MPH
2011-02-20,31.1 F,38.9 F,45.0 F,29.97 IN,No data.,0.00 IN,No data.,No data.,4.83 MPH,11.39 MPH,999.00 MPH
2011-02-21,36.9 F,41.5 F,46.9 F,30.01 IN,No data.,0.00 IN,No data.,No data.,5.06 MPH,9.21 MPH,999.00 MPH
2011-02-22,37.2 F,39.8 F,45.9 F,29.88 IN,No data.,0.00 IN,No data.,No data.,5.41 MPH,11.39 MPH,999.00 MPH
2011-02-23,34.5 F,37.1 F,39.0 F,29.93 IN,No data.,0.00 IN,No data.,No data.,7.02 MPH,16.11 MPH,999.00 MPH
2011-02-24,30.4 F,32.9 F,38.5 F,29.91 IN,No data.,0.00 IN,No data.,No data.,5.75 MPH,11.39 MPH,999.00 MPH
2011-02-25,26.8 F,30.3 F,33.1 F,30.19 IN,No data.,0.00 IN,No data.,No data.,5.41 MPH,16.11 MPH,999.00 MPH
2011-02-26,23.7 F,28.6 F,33.3 F,30.09 IN,No data.,0.00 IN,No data.,No data.,5.52 MPH,9.21 MPH,999.00 MPH
2011-02-27,33.3 F,36.5 F,42.3 F,29.74 IN,No data.,0.00 IN,No data.,No data.,9.90 MPH,16.11 MPH,999.00 MPH
2011-02-28,37.8 F,39.8 F,42.8 F,29.52 IN,No data.,0.00 IN,No data.,No data.,11.39 MPH,14.96 MPH,999.00 MPH
2011-03-01,39.2 F,40.9 F,42.8 F,29.96 IN,No data.,0.00 IN,No data.,No data.,4.03 MPH,6.90 MPH,999.00 MPH
2011-03-02,42.1 F,44.8 F,49.1 F,29.64 IN,No data.,0.00 IN,No data.,No data.,6.33 MPH,24.17 MPH,999.00 MPH
2011-03-03,39.9 F,42.5 F,47.3 F,29.97 IN,No data.,0.00 IN,No data.,No data.,7.60 MPH,17.26 MPH,999.00 MPH
2011-03-04,35.6 F,40.3 F,49.8 F,30.19 IN,No data.,0.00 IN,No data.,No data.,5.87 MPH,19.45 MPH,999.00 MPH
2011-03-05,42.1 F,44.9 F,49.3 F,30.09 IN,No data.,0.00 IN,No data.,No data.,5.87 MPH,14.96 MPH,999.00 MPH
2011-03-06,41.5 F,44.4 F,50.0 F,30.09 IN,No data.,0.00 IN,No data.,No data.,4.60 MPH,9.21 MPH,999.00 MPH
2011-03-07,40.3 F,42.7 F,47.1 F,29.93 IN,No data.,0.00 IN,No data.,No data.,3.57 MPH,8.06 MPH,999.00 MPH
2011-03-08,39.7 F,44.9 F,51.6 F,29.90 IN,No data.,0.00 IN,No data.,No data.,6.33 MPH,18.30 MPH,999.00 MPH
2011-03-09,43.3 F,48.4 F,53.2 F,30.00 IN,No data.,0.00 IN,No data.,No data.,8.86 MPH,20.83 MPH,999.00 MPH
2011-03-10,47.3 F,50.4 F,54.1 F,29.77 IN,No data.,0.00 IN,No data.,No data.,8.98 MPH,12.77 MPH,999.00 MPH
2011-03-11,41.7 F,45.3 F,51.3 F,30.04 IN,No data.,0.00 IN,No data.,No data.,13.23 MPH,28.88 MPH,999.00 MPH
2011-03-12,44.1 F,47.9 F,53.1 F,29.96 IN,No data.,0.00 IN,No data.,No data.,5.41 MPH,10.24 MPH,999.00 MPH
2011-03-13,44.2 F,47.3 F,53.6 F,29.85 IN,No data.,0.00 IN,No data.,No data.,4.95 MPH,11.39 MPH,999.00 MPH
2011-03-14,45.1 F,48.4 F,52.9 F,29.90 IN,No data.,0.00 IN,No data.,No data.,10.47 MPH,17.26 MPH,999.00 MPH
2011-03-15,46.6 F,50.5 F,55.8 F,29.80 IN,No data.,0.00 IN,No data.,No data.,6.90 MPH,12.77 MPH,999.00 MPH
2011-03-16,43.2 F,45.6 F,48.7 F,29.77 IN,No data.,0.00 IN,No data.,No data.,10.13 MPH,14.96 MPH,999.00 MPH
2011-03-17,41.2 F,44.3 F,49.5 F,30.04 IN,No data.,0.00 IN,No data.,No data.,6.90 MPH,12.77 MPH,999.00 MPH
2011-03-18,44.2 F,47.6 F,52.3 F,29.85 IN,No data.,0.00 IN,No data.,No data.,5.18 MPH,13.81 MPH,999.00 MPH
2011-03-19,39.9 F,43.2 F,53.2 F,29.73 IN,No data.,0.00 IN,No data.,No data.,3.91 MPH,5.87 MPH,999.00 MPH
2011-03-20,42.1 F,46.6 F,53.1 F,29.68 IN,No data.,0.00 IN,No data.,No data.,5.87 MPH,10.24 MPH,999.00 MPH
2011-03-21,44.6 F,46.9 F,50.4 F,29.54 IN,No data.,0.00 IN,No data.,No data.,5.75 MPH,12.77 MPH,999.00 MPH
2011-03-22,40.8 F,45.6 F,51.1 F,29.89 IN,No data.,0.00 IN,No data.,No data.,7.13 MPH,13.81 MPH,999.00 MPH
2011-03-23,41.5 F,48.1 F,61.9 F,29.90 IN,No data.,0.00 IN,No data.,No data.,3.91 MPH,13.81 MPH,999.00 MPH
2011-03-24,48.2 F,54.7 F,61.7 F,29.49 IN,No data.,0.00 IN,No data.,No data.,5.64 MPH,12.77 MPH,999.00 MPH
2011-03-25,39.9 F,46.6 F,54.9 F,29.53 IN,No data.,0.00 IN,No data.,No data.,5.75 MPH,9.21 MPH,999.00 MPH
2011-03-26,43.9 F,46.3 F,48.9 F,29.58 IN,No data.,0.00 IN,No data.,No data.,3.57 MPH,5.87 MPH,999.00 MPH
2011-03-27,41.7 F,45.6 F,51.3 F,29.64 IN,No data.,0.00 IN,No data.,No data.,5.29 MPH,8.06 MPH,999.00 MPH
2011-03-28,43.2 F,46.7 F,52.2 F,29.95 IN,No data.,0.00 IN,No data.,No data.,7.02 MPH,11.39 MPH,999.00 MPH
2011-03-29,44.8 F,47.4 F,51.1 F,30.03 IN,No data.,0.00 IN,No data.,No data.,6.33 MPH,11.39 MPH,999.00 MPH
2011-03-30,48.7 F,50.3 F,52.2 F,30.06 IN,No data.,0.00 IN,No data.,No data.,8.75 MPH,18.30 MPH,999.00 MPH
2011-03-31,50.4 F,51.6 F,53.2 F,30.13 IN,No data.,0.00 IN,No data.,No data.,10.93 MPH,18.30 MPH,999.00 MPH
2011-04-01,45.3 F,48.6 F,53.8 F,30.06 IN,No data.,0.00 IN,No data.,No data.,4.49 MPH,12.77 MPH,999.00 MPH
2011-04-02,41.5 F,44.2 F,49.6 F,29.85 IN,No data.,0.00 IN,No data.,No data.,5.29 MPH,8.06 MPH,999.00 MPH
2011-04-03,42.3 F,45.0 F,49.3 F,30.20 IN,No data.,0.00 IN,No data.,No data.,5.98 MPH,9.21 MPH,999.00 MPH
2011-04-04,43.3 F,45.2 F,49.8 F,30.15 IN,No data.,0.00 IN,No data.,No data.,6.44 MPH,9.21 MPH,999.00 MPH
2011-04-05,43.0 F,45.4 F,47.8 F,29.97 IN,No data.,0.00 IN,No data.,No data.,9.90 MPH,16.11 MPH,999.00 MPH
2011-04-06,40.5 F,43.9 F,47.7 F,29.90 IN,No data.,0.00 IN,No data.,No data.,10.59 MPH,19.45 MPH,999.00 MPH
2011-04-07,37.0 F,39.9 F,47.1 F,29.93 IN,No data.,0.00 IN,No data.,No data.,4.49 MPH,11.39 MPH,999.00 MPH
2011-04-08,39.4 F,45.1 F,53.1 F,30.03 IN,No data.,0.00 IN,No data.,No data.,3.91 MPH,12.77 MPH,999.00 MPH
2011-04-09,45.0 F,48.7 F,53.8 F,29.95 IN,No data.,0.00 IN,No data.,No data.,5.29 MPH,10.24 MPH,999.00 MPH
2011-04-10,45.9 F,49.4 F,55.0 F,30.00 IN,No data.,0.00 IN,No data.,No data.,8.63 MPH,13.81 MPH,999.00 MPH
2011-04-11,43.3 F,48.3 F,54.3 F,30.10 IN,No data.,0.00 IN,No data.,No data.,10.01 MPH,13.81 MPH,999.00 MPH
2011-04-12,40.1 F,45.3 F,53.2 F,30.22 IN,No data.,0.00 IN,No data.,No data.,4.37 MPH,6.90 MPH,999.00 MPH
2011-04-13,45.1 F,48.6 F,52.7 F,29.94 IN,No data.,0.00 IN,No data.,No data.,4.49 MPH,11.39 MPH,999.00 MPH
2011-04-14,39.9 F,43.8 F,46.9 F,30.10 IN,37.6 F,0.09 IN,9.6 MI,No data.,9.78 MPH,14.96 MPH,23.02 MPH
2011-04-15,37.9 F,44.3 F,53.1 F,30.14 IN,38.6 F,0.42 IN,10.0 MI,No data.,4.37 MPH,13.81 MPH,23.02 MPH
2011-04-16,44.1 F,48.4 F,54.0 F,29.99 IN,42.9 F,0.14 IN,7.1 MI,No data.,4.03 MPH,11.39 MPH,17.26 MPH
2011-04-17,37.0 F,45.0 F,53.1 F,30.05 IN,32.4 F,0.03 IN,10.0 MI,No data.,3.91 MPH,10.24 MPH,17.26 MPH
2011-04-18,37.0 F,44.8 F,54.0 F,30.03 IN,34.1 F,0.01 IN,10.0 MI,No data.,3.68 MPH,9.21 MPH,999.00 MPH
2011-04-19,41.9 F,45.6 F,49.8 F,30.20 IN,No data.,0.00 IN,No data.,No data.,6.67 MPH,10.24 MPH,999.00 MPH
2011-04-20,41.9 F,46.7 F,54.7 F,30.03 IN,No data.,0.00 IN,No data.,No data.,4.83 MPH,11.39 MPH,999.00 MPH
2011-04-21,39.6 F,45.0 F,54.3 F,30.01 IN,No data.,0.00 IN,No data.,No data.,4.95 MPH,10.24 MPH,999.00 MPH
2011-04-22,42.1 F,47.0 F,54.1 F,30.23 IN,No data.,0.00 IN,No data.,No data.,4.95 MPH,12.77 MPH,999.00 MPH
2011-04-23,43.9 F,50.1 F,60.1 F,29.99 IN,No data.,0.00 IN,No data.,No data.,4.72 MPH,11.39 MPH,999.00 MPH
2011-04-24,47.8 F,52.0 F,62.1 F,29.83 IN,No data.,0.00 IN,No data.,No data.,4.26 MPH,9.21 MPH,999.00 MPH
2011-04-25,45.3 F,48.7 F,55.9 F,29.75 IN,No data.,0.00 IN,No data.,No data.,6.44 MPH,12.77 MPH,999.00 MPH
2011-04-26,44.2 F,48.0 F,56.7 F,30.00 IN,No data.,0.00 IN,No data.,No data.,6.79 MPH,17.26 MPH,999.00 MPH
2011-04-27,45.9 F,49.3 F,53.6 F,30.10 IN,No data.,0.00 IN,No data.,No data.,8.63 MPH,16.11 MPH,999.00 MPH
2011-04-28,39.2 F,43.1 F,49.8 F,30.05 IN,No data.,0.00 IN,No data.,No data.,9.32 MPH,13.81 MPH,999.00 MPH
2011-04-29,41.0 F,45.6 F,53.1 F,30.24 IN,No data.,0.00 IN,No data.,No data.,4.26 MPH,11.39 MPH,999.00 MPH
